puzzle_id,solved,correct,time_seconds,nodes_explored,backtracks,arc_revisions,steps,error
lgp-test-2x3-12,True,True,0.0000,7,0,14,7,"{""1"": {""name"": ""Eric"", ""house"": ""victorian"", ""genre"": ""rock""}, ""2"": {""name"": ""Arnold"", ""house"": ""colonial"", ""genre"": ""pop""}}",
lgp-test-6x2-21,True,False,0.0010,13,0,73,13,"{""1"": {""name"": ""Alice"", ""hobby"": ""photography""}, ""2"": {""name"": ""Bob"", ""hobby"": ""woodworking""}, ""3"": {""hobby"": ""cooking"", ""name"": ""Peter""}, ""4"": {""name"": ""Carol"", ""hobby"": ""gardening""}, ""5"": {""name"": ""Arnold"", ""hobby"": ""painting""}, ""6"": {""name"": ""Eric"", ""hobby"": ""knitting""}}",
lgp-test-5x6-19,True,True,0.0020,32,2,175,32,"{""1"": {""drink"": ""root beer"", ""smoothie"": ""cherry"", ""name"": ""Eric"", ""pet"": ""bird"", ""child"": ""Timothy"", ""are"": ""Janelle""}, ""2"": {""drink"": ""water"", ""child"": ""Meredith"", ""name"": ""Bob"", ""are"": ""Kailyn"", ""pet"": ""fish"", ""smoothie"": ""lime""}, ""3"": {""name"": ""Peter"", ""are"": ""Penny"", ""child"": ""Bella"", ""drink"": ""coffee"", ""pet"": ""cat"", ""smoothie"": ""dragonfruit""}, ""4"": {""child"": ""Samantha"", ""name"": ""Alice"", ""drink"": ""milk"", ""pet"": ""dog"", ""are"": ""Holly"", ""smoothie"": ""desert""}, ""5"": {""drink"": ""tea"", ""child"": ""Fred"", ""name"": ""Arnold"", ""pet"": ""hamster"", ""smoothie"": ""watermelon"", ""are"": ""Aniya""}}",
lgp-test-6x6-17,True,True,0.0050,75,48,268,75,"{""1"": {""name"": ""Carol"", ""animal"": ""horse"", ""smoothie"": ""desert"", ""are"": ""Penny"", ""house"": ""victorian"", ""lunch"": ""soup""}, ""2"": {""are"": ""Aniya"", ""house"": ""ranch"", ""name"": ""Bob"", ""animal"": ""cat"", ""smoothie"": ""dragonfruit"", ""lunch"": ""grilled cheese""}, ""3"": {""lunch"": ""spaghetti"", ""animal"": ""bird"", ""name"": ""Alice"", ""are"": ""Sarah"", ""smoothie"": ""blueberry"", ""house"": ""colonial""}, ""4"": {""name"": ""Peter"", ""are"": ""Janelle"", ""animal"": ""dog"", ""smoothie"": ""watermelon"", ""lunch"": ""stew"", ""house"": ""mediterranean""}, ""5"": {""name"": ""Eric"", ""lunch"": ""stir fry"", ""smoothie"": ""cherry"", ""are"": ""Holly"", ""animal"": ""fish"", ""house"": ""craftsman""}, ""6"": {""name"": ""Arnold"", ""animal"": ""rabbit"", ""are"": ""Kailyn"", ""house"": ""modern"", ""lunch"": ""pizza"", ""smoothie"": ""lime""}}",
lgp-test-4x6-39,True,False,0.0020,28,4,96,28,"{""1"": {""drink"": ""water"", ""height"": ""short"", ""model"": ""honda civic"", ""name"": ""Arnold"", ""color"": ""yellow"", ""flower"": ""roses""}, ""2"": {""drink"": ""coffee"", ""height"": ""very short"", ""color"": ""green"", ""model"": ""toyota camry"", ""name"": ""Eric"", ""flower"": ""carnations""}, ""3"": {""height"": ""average"", ""model"": ""tesla model 3"", ""flower"": ""lilies"", ""drink"": ""milk"", ""name"": ""Peter"", ""color"": ""red""}, ""4"": {""drink"": ""tea"", ""height"": ""tall"", ""model"": ""ford f150"", ""name"": ""Alice"", ""color"": ""white"", ""flower"": ""daffodils""}}",
lgp-test-3x2-8,True,True,0.0000,7,0,21,7,"{""1"": {""name"": ""Arnold"", ""height"": ""very short""}, ""2"": {""name"": ""Eric"", ""height"": ""average""}, ""3"": {""name"": ""Peter"", ""height"": ""short""}}",
lgp-test-3x5-31,True,True,0.0000,16,0,48,16,"{""1"": {""are"": ""Holly"", ""sport"": ""basketball"", ""name"": ""Eric"", ""drink"": ""water"", ""flower"": ""carnations""}, ""2"": {""name"": ""Arnold"", ""are"": ""Aniya"", ""sport"": ""soccer"", ""drink"": ""tea"", ""flower"": ""daffodils""}, ""3"": {""are"": ""Janelle"", ""sport"": ""tennis"", ""name"": ""Peter"", ""drink"": ""milk"", ""flower"": ""lilies""}}",
lgp-test-3x2-15,True,True,0.0010,7,0,20,7,"{""1"": {""name"": ""Eric"", ""height"": ""short""}, ""2"": {""name"": ""Arnold"", ""height"": ""average""}, ""3"": {""name"": ""Peter"", ""height"": ""very short""}}",
lgp-test-3x4-8,True,True,0.0010,13,0,38,13,"{""1"": {""name"": ""Arnold"", ""sport"": ""soccer"", ""pet"": ""dog"", ""vacation"": ""beach""}, ""2"": {""vacation"": ""mountain"", ""name"": ""Peter"", ""pet"": ""fish"", ""sport"": ""basketball""}, ""3"": {""vacation"": ""city"", ""name"": ""Eric"", ""sport"": ""tennis"", ""pet"": ""cat""}}",
lgp-test-3x3-38,True,True,0.0000,10,0,32,10,"{""1"": {""name"": ""Eric"", ""hobby"": ""gardening"", ""house"": ""ranch""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""cooking"", ""house"": ""colonial""}, ""3"": {""name"": ""Peter"", ""hobby"": ""photography"", ""house"": ""victorian""}}",
lgp-test-6x5-33,True,True,0.0020,32,2,215,32,"{""1"": {""lunch"": ""pizza"", ""name"": ""Peter"", ""education"": ""associate"", ""sport"": ""tennis"", ""height"": ""short""}, ""2"": {""lunch"": ""spaghetti"", ""name"": ""Eric"", ""education"": ""bachelor"", ""sport"": ""soccer"", ""height"": ""tall""}, ""3"": {""sport"": ""baseball"", ""name"": ""Arnold"", ""education"": ""high school"", ""lunch"": ""soup"", ""height"": ""very short""}, ""4"": {""education"": ""trade school"", ""height"": ""very tall"", ""name"": ""Carol"", ""lunch"": ""stir fry"", ""sport"": ""volleyball""}, ""5"": {""name"": ""Alice"", ""sport"": ""basketball"", ""height"": ""super tall"", ""education"": ""doctorate"", ""lunch"": ""grilled cheese""}, ""6"": {""name"": ""Bob"", ""height"": ""average"", ""lunch"": ""stew"", ""sport"": ""swimming"", ""education"": ""master""}}",
lgp-test-6x2-20,True,True,0.0000,17,5,81,17,"{""1"": {""name"": ""Peter"", ""flower"": ""tulips""}, ""2"": {""name"": ""Arnold"", ""flower"": ""lilies""}, ""3"": {""name"": ""Eric"", ""flower"": ""carnations""}, ""4"": {""name"": ""Alice"", ""flower"": ""roses""}, ""5"": {""name"": ""Carol"", ""flower"": ""iris""}, ""6"": {""name"": ""Bob"", ""flower"": ""daffodils""}}",
lgp-test-2x4-29,True,True,0.0000,9,0,13,9,"{""1"": {""name"": ""Eric"", ""child"": ""Fred"", ""animal"": ""horse"", ""are"": ""Aniya""}, ""2"": {""name"": ""Arnold"", ""child"": ""Bella"", ""animal"": ""cat"", ""are"": ""Holly""}}",
lgp-test-2x4-38,True,True,0.0000,9,0,19,9,"{""1"": {""name"": ""Arnold"", ""month"": ""april"", ""child"": ""Bella"", ""education"": ""associate""}, ""2"": {""name"": ""Eric"", ""month"": ""sept"", ""child"": ""Fred"", ""education"": ""high school""}}",
lgp-test-6x5-21,True,False,0.0020,48,19,214,48,"{""1"": {""name"": ""Alice"", ""genre"": ""pop"", ""color"": ""red"", ""house"": ""modern"", ""hobby"": ""photography""}, ""2"": {""genre"": ""rock"", ""name"": ""Eric"", ""color"": ""blonde"", ""house"": ""colonial"", ""hobby"": ""cooking""}, ""3"": {""genre"": ""hip hop"", ""name"": ""Arnold"", ""house"": ""victorian"", ""hobby"": ""gardening"", ""color"": ""brown""}, ""4"": {""color"": ""black"", ""name"": ""Peter"", ""house"": ""ranch"", ""genre"": ""classical"", ""hobby"": ""woodworking""}, ""5"": {""name"": ""Bob"", ""hobby"": ""knitting"", ""color"": ""auburn"", ""genre"": ""country"", ""house"": ""mediterranean""}, ""6"": {""name"": ""Carol"", ""house"": ""craftsman"", ""genre"": ""jazz"", ""color"": ""gray"", ""hobby"": ""painting""}}",
lgp-test-2x5-17,True,True,0.0000,11,0,20,11,"{""1"": {""name"": ""Eric"", ""animal"": ""horse"", ""sport"": ""basketball"", ""cigar"": ""prince"", ""education"": ""associate""}, ""2"": {""name"": ""Arnold"", ""animal"": ""cat"", ""sport"": ""soccer"", ""cigar"": ""pall mall"", ""education"": ""high school""}}",
lgp-test-2x4-26,True,True,0.0010,9,0,16,9,"{""1"": {""name"": ""Arnold"", ""smoothie"": ""cherry"", ""drink"": ""water"", ""sport"": ""basketball""}, ""2"": {""name"": ""Eric"", ""smoothie"": ""desert"", ""drink"": ""tea"", ""sport"": ""soccer""}}",
lgp-test-3x4-26,True,True,0.0000,14,2,35,14,"{""1"": {""lunch"": ""spaghetti"", ""pet"": ""dog"", ""name"": ""Arnold"", ""smoothie"": ""watermelon""}, ""2"": {""name"": ""Eric"", ""pet"": ""cat"", ""lunch"": ""pizza"", ""smoothie"": ""desert""}, ""3"": {""lunch"": ""grilled cheese"", ""pet"": ""fish"", ""smoothie"": ""cherry"", ""name"": ""Peter""}}",
lgp-test-6x6-12,True,False,0.0020,38,3,244,38,"{""1"": {""name"": ""Arnold"", ""animal"": ""rabbit"", ""genre"": ""rock"", ""nationalitie"": ""german"", ""house"": ""colonial"", ""hobby"": ""knitting""}, ""2"": {""name"": ""Eric"", ""nationalitie"": ""norwegian"", ""genre"": ""hip hop"", ""house"": ""modern"", ""animal"": ""bird"", ""hobby"": ""cooking""}, ""3"": {""name"": ""Peter"", ""animal"": ""fish"", ""genre"": ""country"", ""house"": ""victorian"", ""hobby"": ""painting"", ""nationalitie"": ""brit""}, ""4"": {""name"": ""Carol"", ""house"": ""craftsman"", ""genre"": ""pop"", ""animal"": ""dog"", ""hobby"": ""gardening"", ""nationalitie"": ""swede""}, ""5"": {""name"": ""Alice"", ""animal"": ""cat"", ""house"": ""mediterranean"", ""genre"": ""classical"", ""hobby"": ""photography"", ""nationalitie"": ""dane""}, ""6"": {""name"": ""Bob"", ""hobby"": ""woodworking"", ""genre"": ""jazz"", ""animal"": ""horse"", ""house"": ""ranch"", ""nationalitie"": ""chinese""}}",
lgp-test-2x2-8,True,True,0.0000,5,0,6,5,"{""1"": {""name"": ""Arnold"", ""height"": ""short""}, ""2"": {""name"": ""Eric"", ""height"": ""very short""}}",
lgp-test-6x2-22,True,True,0.0010,16,5,92,16,"{""1"": {""color"": ""red"", ""name"": ""Peter""}, ""2"": {""name"": ""Eric"", ""color"": ""blue""}, ""3"": {""color"": ""green"", ""name"": ""Arnold""}, ""4"": {""name"": ""Bob"", ""color"": ""white""}, ""5"": {""name"": ""Alice"", ""color"": ""purple""}, ""6"": {""name"": ""Carol"", ""color"": ""yellow""}}",
lgp-test-3x4-29,True,True,0.0000,13,0,42,13,"{""1"": {""pet"": ""dog"", ""name"": ""Eric"", ""cigar"": ""prince"", ""genre"": ""science fiction""}, ""2"": {""pet"": ""cat"", ""cigar"": ""pall mall"", ""name"": ""Arnold"", ""genre"": ""romance""}, ""3"": {""pet"": ""fish"", ""cigar"": ""blue master"", ""name"": ""Peter"", ""genre"": ""mystery""}}",
lgp-test-4x5-36,True,False,0.0010,22,2,94,22,"{""1"": {""name"": ""Peter"", ""color"": ""red"", ""child"": ""Samantha"", ""animal"": ""fish"", ""flower"": ""roses""}, ""2"": {""name"": ""Alice"", ""child"": ""Bella"", ""flower"": ""daffodils"", ""color"": ""brown"", ""animal"": ""cat""}, ""3"": {""name"": ""Arnold"", ""animal"": ""bird"", ""child"": ""Fred"", ""color"": ""blonde"", ""flower"": ""carnations""}, ""4"": {""name"": ""Eric"", ""child"": ""Meredith"", ""color"": ""black"", ""flower"": ""lilies"", ""animal"": ""horse""}}",
lgp-test-5x5-23,True,True,0.0010,26,1,153,26,"{""1"": {""animal"": ""dog"", ""name"": ""Peter"", ""sport"": ""tennis"", ""are"": ""Kailyn"", ""child"": ""Samantha""}, ""2"": {""name"": ""Bob"", ""sport"": ""basketball"", ""child"": ""Timothy"", ""are"": ""Aniya"", ""animal"": ""fish""}, ""3"": {""name"": ""Arnold"", ""sport"": ""baseball"", ""child"": ""Meredith"", ""are"": ""Janelle"", ""animal"": ""cat""}, ""4"": {""name"": ""Eric"", ""are"": ""Penny"", ""sport"": ""swimming"", ""animal"": ""horse"", ""child"": ""Bella""}, ""5"": {""name"": ""Alice"", ""animal"": ""bird"", ""sport"": ""soccer"", ""are"": ""Holly"", ""child"": ""Fred""}}",
lgp-test-5x2-34,True,False,0.0000,11,0,49,11,"{""1"": {""name"": ""Eric"", ""model"": ""toyota camry""}, ""2"": {""name"": ""Bob"", ""model"": ""ford f150""}, ""3"": {""name"": ""Alice"", ""model"": ""bmw 3 series""}, ""4"": {""model"": ""tesla model 3"", ""name"": ""Peter""}, ""5"": {""model"": ""honda civic"", ""name"": ""Arnold""}}",
lgp-test-3x4-11,True,True,0.0000,13,0,36,13,"{""1"": {""name"": ""Eric"", ""house"": ""colonial"", ""animal"": ""bird"", ""model"": ""ford f150""}, ""2"": {""name"": ""Peter"", ""house"": ""ranch"", ""animal"": ""horse"", ""model"": ""toyota camry""}, ""3"": {""name"": ""Arnold"", ""house"": ""victorian"", ""animal"": ""cat"", ""model"": ""tesla model 3""}}",
lgp-test-3x6-18,True,False,0.0000,16,0,46,16,"{""1"": {""lunch"": ""grilled cheese"", ""sport"": ""basketball"", ""genre"": ""mystery"", ""name"": ""Arnold"", ""color"": ""black""}, ""2"": {""lunch"": ""spaghetti"", ""genre"": ""science fiction"", ""sport"": ""soccer"", ""name"": ""Peter"", ""color"": ""blonde""}, ""3"": {""lunch"": ""pizza"", ""color"": ""brown"", ""name"": ""Eric"", ""genre"": ""romance"", ""sport"": ""tennis""}}",
lgp-test-6x4-9,True,True,0.0020,28,4,174,28,"{""1"": {""name"": ""Carol"", ""color"": ""green"", ""nationalitie"": ""chinese"", ""model"": ""xiaomi mi 11""}, ""2"": {""name"": ""Arnold"", ""nationalitie"": ""norwegian"", ""color"": ""purple"", ""model"": ""oneplus 9""}, ""3"": {""nationalitie"": ""german"", ""name"": ""Alice"", ""model"": ""google pixel 6"", ""color"": ""red""}, ""4"": {""nationalitie"": ""dane"", ""color"": ""yellow"", ""name"": ""Eric"", ""model"": ""huawei p50""}, ""5"": {""name"": ""Bob"", ""model"": ""samsung galaxy s21"", ""nationalitie"": ""swede"", ""color"": ""white""}, ""6"": {""name"": ""Peter"", ""model"": ""iphone 13"", ""nationalitie"": ""brit"", ""color"": ""blue""}}",
lgp-test-5x2-29,True,True,0.0010,12,2,51,12,"{""1"": {""name"": ""Peter"", ""child"": ""Fred""}, ""2"": {""name"": ""Alice"", ""child"": ""Timothy""}, ""3"": {""child"": ""Samantha"", ""name"": ""Bob""}, ""4"": {""name"": ""Arnold"", ""child"": ""Bella""}, ""5"": {""child"": ""Meredith"", ""name"": ""Eric""}}",
lgp-test-3x5-37,True,True,0.0010,25,10,48,25,"{""1"": {""name"": ""Eric"", ""model"": ""google pixel 6"", ""hobby"": ""cooking"", ""animal"": ""horse"", ""occupation"": ""engineer""}, ""2"": {""name"": ""Peter"", ""model"": ""samsung galaxy s21"", ""hobby"": ""gardening"", ""animal"": ""bird"", ""occupation"": ""doctor""}, ""3"": {""model"": ""iphone 13"", ""animal"": ""cat"", ""name"": ""Arnold"", ""occupation"": ""teacher"", ""hobby"": ""photography""}}",
lgp-test-5x4-32,True,False,0.0010,23,9,83,23,"{""1"": {""name"": ""Alice"", ""color"": ""black"", ""model"": ""bmw 3 series""}, ""2"": {""name"": ""Eric"", ""model"": ""honda civic"", ""color"": ""red""}, ""3"": {""name"": ""Arnold"", ""color"": ""brown"", ""model"": ""tesla model 3""}, ""4"": {""name"": ""Peter"", ""model"": ""toyota camry"", ""color"": ""gray""}, ""5"": {""name"": ""Bob"", ""color"": ""blonde"", ""model"": ""ford f150""}}",
lgp-test-5x2-20,True,True,0.0000,11,0,57,11,"{""1"": {""name"": ""Alice"", ""hobby"": ""photography""}, ""2"": {""name"": ""Eric"", ""hobby"": ""painting""}, ""3"": {""name"": ""Arnold"", ""hobby"": ""cooking""}, ""4"": {""name"": ""Peter"", ""hobby"": ""gardening""}, ""5"": {""hobby"": ""knitting"", ""name"": ""Bob""}}",
lgp-test-4x4-38,True,True,0.0010,17,0,76,17,"{""1"": {""name"": ""Arnold"", ""color"": ""yellow"", ""occupation"": ""artist"", ""month"": ""april""}, ""2"": {""name"": ""Peter"", ""occupation"": ""doctor"", ""month"": ""sept"", ""color"": ""white""}, ""3"": {""occupation"": ""engineer"", ""color"": ""green"", ""name"": ""Alice"", ""month"": ""feb""}, ""4"": {""name"": ""Eric"", ""occupation"": ""teacher"", ""month"": ""jan"", ""color"": ""red""}}",
lgp-test-5x3-22,True,True,0.0010,16,0,85,16,"{""1"": {""name"": ""Arnold"", ""smoothie"": ""lime"", ""nationalitie"": ""swede""}, ""2"": {""name"": ""Peter"", ""smoothie"": ""dragonfruit"", ""nationalitie"": ""german""}, ""3"": {""name"": ""Alice"", ""smoothie"": ""watermelon"", ""nationalitie"": ""norwegian""}, ""4"": {""name"": ""Bob"", ""smoothie"": ""desert"", ""nationalitie"": ""dane""}, ""5"": {""name"": ""Eric"", ""smoothie"": ""cherry"", ""nationalitie"": ""brit""}}",
lgp-test-4x5-30,True,False,0.0010,17,0,55,17,"{""1"": {""vacation"": ""cruise"", ""flower"": ""carnations"", ""genre"": ""classical"", ""name"": ""Peter""}, ""2"": {""vacation"": ""city"", ""name"": ""Eric"", ""genre"": ""pop"", ""flower"": ""roses""}, ""3"": {""vacation"": ""mountain"", ""name"": ""Arnold"", ""genre"": ""rock"", ""flower"": ""daffodils""}, ""4"": {""vacation"": ""beach"", ""name"": ""Alice"", ""genre"": ""jazz"", ""flower"": ""lilies""}}",
lgp-test-2x3-35,True,True,0.0000,7,0,8,7,"{""1"": {""name"": ""Arnold"", ""house"": ""victorian"", ""lunch"": ""grilled cheese""}, ""2"": {""name"": ""Eric"", ""house"": ""colonial"", ""lunch"": ""pizza""}}",
lgp-test-2x4-22,True,True,0.0000,9,0,13,9,"{""1"": {""name"": ""Arnold"", ""color"": ""black"", ""pet"": ""cat"", ""child"": ""Fred""}, ""2"": {""name"": ""Eric"", ""color"": ""brown"", ""pet"": ""dog"", ""child"": ""Bella""}}",
lgp-test-4x6-16,True,False,0.0020,25,0,111,25,"{""1"": {""name"": ""Alice"", ""month"": ""feb"", ""lunch"": ""stew"", ""hobby"": ""painting"", ""occupation"": ""artist"", ""child"": ""Bella""}, ""2"": {""name"": ""Peter"", ""month"": ""jan"", ""lunch"": ""pizza"", ""hobby"": ""cooking"", ""occupation"": ""teacher"", ""child"": ""Samantha""}, ""3"": {""name"": ""Eric"", ""month"": ""sept"", ""lunch"": ""grilled cheese"", ""hobby"": ""photography"", ""child"": ""Fred"", ""occupation"": ""engineer""}, ""4"": {""name"": ""Arnold"", ""month"": ""april"", ""lunch"": ""spaghetti"", ""hobby"": ""gardening"", ""child"": ""Meredith"", ""occupation"": ""doctor""}}",
lgp-test-6x3-17,True,False,0.0010,20,2,123,20,"{""1"": {""height"": ""very tall"", ""model"": ""samsung galaxy s21"", ""name"": ""Alice""}, ""2"": {""height"": ""super tall"", ""model"": ""xiaomi mi 11"", ""name"": ""Peter""}, ""3"": {""height"": ""tall"", ""model"": ""huawei p50"", ""name"": ""Eric""}, ""4"": {""height"": ""short"", ""model"": ""google pixel 6"", ""name"": ""Bob""}, ""5"": {""height"": ""average"", ""model"": ""iphone 13"", ""name"": ""Arnold""}, ""6"": {""height"": ""very short"", ""model"": ""oneplus 9"", ""name"": ""Carol""}}",
lgp-test-2x2-9,True,True,0.0000,5,0,7,5,"{""1"": {""name"": ""Arnold"", ""genre"": ""rock""}, ""2"": {""name"": ""Eric"", ""genre"": ""pop""}}",
lgp-test-2x3-34,True,True,0.0000,7,0,10,7,"{""1"": {""name"": ""Eric"", ""sport"": ""soccer"", ""model"": ""ford f150""}, ""2"": {""name"": ""Arnold"", ""sport"": ""basketball"", ""model"": ""tesla model 3""}}",
lgp-test-6x5-31,True,True,0.0040,78,60,210,78,"{""1"": {""color"": ""white"", ""lunch"": ""grilled cheese"", ""name"": ""Eric"", ""house"": ""victorian"", ""are"": ""Kailyn""}, ""2"": {""name"": ""Carol"", ""are"": ""Holly"", ""lunch"": ""pizza"", ""color"": ""yellow"", ""house"": ""mediterranean""}, ""3"": {""are"": ""Penny"", ""color"": ""blue"", ""name"": ""Alice"", ""lunch"": ""stew"", ""house"": ""ranch""}, ""4"": {""name"": ""Arnold"", ""color"": ""red"", ""lunch"": ""spaghetti"", ""house"": ""modern"", ""are"": ""Aniya""}, ""5"": {""house"": ""colonial"", ""are"": ""Janelle"", ""color"": ""green"", ""name"": ""Peter"", ""lunch"": ""soup""}, ""6"": {""name"": ""Bob"", ""lunch"": ""stir fry"", ""color"": ""purple"", ""are"": ""Sarah"", ""house"": ""craftsman""}}",
lgp-test-4x3-28,True,True,0.0000,24,13,54,24,"{""1"": {""name"": ""Eric"", ""animal"": ""bird"", ""color"": ""red""}, ""2"": {""name"": ""Alice"", ""color"": ""yellow"", ""animal"": ""cat""}, ""3"": {""color"": ""green"", ""name"": ""Peter"", ""animal"": ""horse""}, ""4"": {""name"": ""Arnold"", ""color"": ""white"", ""animal"": ""fish""}}",
lgp-test-3x4-27,True,True,0.0010,13,0,42,13,"{""1"": {""name"": ""Arnold"", ""hobby"": ""cooking"", ""nationalitie"": ""dane"", ""smoothie"": ""cherry""}, ""2"": {""name"": ""Peter"", ""smoothie"": ""watermelon"", ""hobby"": ""photography"", ""nationalitie"": ""brit""}, ""3"": {""name"": ""Eric"", ""hobby"": ""gardening"", ""nationalitie"": ""swede"", ""smoothie"": ""desert""}}",
lgp-test-2x5-14,True,False,0.0010,9,0,13,9,"{""1"": {""genre"": ""mystery"", ""flower"": ""carnations"", ""name"": ""Eric"", ""lunch"": ""grilled cheese""}, ""2"": {""genre"": ""science fiction"", ""flower"": ""daffodils"", ""name"": ""Arnold"", ""lunch"": ""pizza""}}",
lgp-test-6x3-19,False,False,0.0020,72,92,126,72,,
lgp-test-6x4-4,True,False,0.0030,32,9,159,32,"{""1"": {""hobby"": ""knitting"", ""model"": ""toyota camry"", ""name"": ""Peter"", ""drink"": ""root beer""}, ""2"": {""model"": ""honda civic"", ""hobby"": ""cooking"", ""name"": ""Carol"", ""drink"": ""coffee""}, ""3"": {""name"": ""Bob"", ""model"": ""bmw 3 series"", ""drink"": ""boba tea"", ""hobby"": ""painting""}, ""4"": {""name"": ""Arnold"", ""drink"": ""tea"", ""model"": ""ford f150"", ""hobby"": ""woodworking""}, ""5"": {""drink"": ""milk"", ""model"": ""chevrolet silverado"", ""name"": ""Alice"", ""hobby"": ""photography""}, ""6"": {""name"": ""Eric"", ""hobby"": ""gardening"", ""drink"": ""water"", ""model"": ""tesla model 3""}}",
lgp-test-3x3-4,True,True,0.0000,10,0,30,10,"{""1"": {""name"": ""Arnold"", ""hobby"": ""gardening"", ""drink"": ""water""}, ""2"": {""name"": ""Eric"", ""hobby"": ""photography"", ""drink"": ""tea""}, ""3"": {""name"": ""Peter"", ""hobby"": ""cooking"", ""drink"": ""milk""}}",
lgp-test-5x3-1,True,True,0.0000,16,0,87,16,"{""1"": {""name"": ""Alice"", ""genre"": ""pop"", ""lunch"": ""spaghetti""}, ""2"": {""name"": ""Peter"", ""genre"": ""rock"", ""lunch"": ""stir fry""}, ""3"": {""name"": ""Eric"", ""genre"": ""classical"", ""lunch"": ""pizza""}, ""4"": {""name"": ""Bob"", ""genre"": ""hip hop"", ""lunch"": ""stew""}, ""5"": {""name"": ""Arnold"", ""genre"": ""jazz"", ""lunch"": ""grilled cheese""}}",
lgp-test-3x2-9,True,True,0.0000,7,0,19,7,"{""1"": {""name"": ""Arnold"", ""hobby"": ""cooking""}, ""2"": {""name"": ""Eric"", ""hobby"": ""photography""}, ""3"": {""name"": ""Peter"", ""hobby"": ""gardening""}}",
lgp-test-3x3-27,True,True,0.0000,10,0,31,10,"{""1"": {""name"": ""Eric"", ""hobby"": ""photography"", ""drink"": ""tea""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""cooking"", ""drink"": ""water""}, ""3"": {""name"": ""Peter"", ""hobby"": ""gardening"", ""drink"": ""milk""}}",
lgp-test-6x3-30,True,True,0.0025,114,117,128,114,"{""1"": {""name"": ""Peter"", ""model"": ""huawei p50"", ""color"": ""blue""}, ""2"": {""color"": ""purple"", ""name"": ""Alice"", ""model"": ""xiaomi mi 11""}, ""3"": {""name"": ""Carol"", ""model"": ""iphone 13"", ""color"": ""white""}, ""4"": {""name"": ""Arnold"", ""model"": ""samsung galaxy s21"", ""color"": ""red""}, ""5"": {""name"": ""Bob"", ""model"": ""google pixel 6"", ""color"": ""green""}, ""6"": {""name"": ""Eric"", ""model"": ""oneplus 9"", ""color"": ""yellow""}}",
lgp-test-4x5-15,True,False,0.0010,21,0,80,21,"{""1"": {""name"": ""Eric"", ""sport"": ""swimming"", ""color"": ""black"", ""pet"": ""cat"", ""animal"": ""cat""}, ""2"": {""name"": ""Alice"", ""sport"": ""tennis"", ""color"": ""red"", ""pet"": ""bird"", ""animal"": ""fish""}, ""3"": {""name"": ""Arnold"", ""sport"": ""soccer"", ""color"": ""brown"", ""pet"": ""dog"", ""animal"": ""bird""}, ""4"": {""name"": ""Peter"", ""animal"": ""horse"", ""sport"": ""basketball"", ""color"": ""blonde"", ""pet"": ""fish""}}",
lgp-test-4x6-18,True,True,0.0010,25,1,103,25,"{""1"": {""education"": ""master"", ""lunch"": ""stew"", ""name"": ""Arnold"", ""color"": ""blonde"", ""genre"": ""romance"", ""sport"": ""swimming""}, ""2"": {""name"": ""Eric"", ""sport"": ""soccer"", ""genre"": ""mystery"", ""color"": ""brown"", ""education"": ""associate"", ""lunch"": ""pizza""}, ""3"": {""name"": ""Alice"", ""color"": ""black"", ""genre"": ""science fiction"", ""lunch"": ""spaghetti"", ""education"": ""bachelor"", ""sport"": ""basketball""}, ""4"": {""name"": ""Peter"", ""color"": ""red"", ""genre"": ""fantasy"", ""education"": ""high school"", ""lunch"": ""grilled cheese"", ""sport"": ""tennis""}}",
lgp-test-6x3-5,True,False,0.0010,21,5,124,21,"{""1"": {""name"": ""Eric"", ""color"": ""purple"", ""nationalitie"": ""chinese""}, ""2"": {""name"": ""Carol"", ""color"": ""white"", ""nationalitie"": ""brit""}, ""3"": {""name"": ""Alice"", ""nationalitie"": ""norwegian"", ""color"": ""red""}, ""4"": {""name"": ""Bob"", ""nationalitie"": ""german"", ""color"": ""green""}, ""5"": {""name"": ""Peter"", ""nationalitie"": ""dane"", ""color"": ""blue""}, ""6"": {""color"": ""yellow"", ""name"": ""Arnold"", ""nationalitie"": ""swede""}}",
lgp-test-6x6-8,False,False,0.0010,0,0,238,0,,
lgp-test-2x4-3,True,True,0.0010,9,0,15,9,"{""1"": {""name"": ""Arnold"", ""drink"": ""tea"", ""education"": ""associate"", ""vacation"": ""beach""}, ""2"": {""name"": ""Eric"", ""drink"": ""water"", ""education"": ""high school"", ""vacation"": ""mountain""}}",
lgp-test-2x3-0,True,True,0.0000,7,0,9,7,"{""1"": {""name"": ""Eric"", ""house"": ""colonial"", ""child"": ""Bella""}, ""2"": {""name"": ""Arnold"", ""house"": ""victorian"", ""child"": ""Fred""}}",
lgp-test-5x2-8,True,False,0.0010,11,1,51,11,"{""1"": {""name"": ""Peter"", ""hobby"": ""painting""}, ""2"": {""name"": ""Arnold"", ""hobby"": ""photography""}, ""3"": {""name"": ""Eric"", ""hobby"": ""cooking""}, ""4"": {""name"": ""Alice"", ""hobby"": ""knitting""}, ""5"": {""hobby"": ""gardening"", ""name"": ""Bob""}}",
